,电影名,评分,上映日期,导演,主演,片长,网址
40,哈尔的移动城堡 ハウルの動く城,9.0,2004-09-05(威尼斯电影节),宫崎骏,倍赏千惠子,119分钟,https://movie.douban.com/subject/1308807/
41,素媛 소원,9.2,2013-10-02(韩国),李濬益,薛景求,122分钟,https://movie.douban.com/subject/21937452/
42,天堂电影院 Nuovo Cinema Paradiso,9.2,1988-11-17(意大利),朱塞佩·托纳多雷,安东内拉·阿蒂利,155分钟,https://movie.douban.com/subject/1291828/
43,罗马假日 Roman Holiday,9.0,1953-08-20(威尼斯电影节),威廉·惠勒,奥黛丽·赫本,118分钟,https://movie.douban.com/subject/1293839/
44,闻香识女人 Scent of a Woman,9.1,1992-12-23(美国),马丁·布莱斯特,阿尔·帕西诺,157 分钟,https://movie.douban.com/subject/1298624/
45,辩护人 변호인,9.2,2013-12-18(韩国),杨宇硕,宋康昊,127分钟,https://movie.douban.com/subject/21937445/
46,搏击俱乐部 Fight Club,9.0,1999-09-10(威尼斯电影节),大卫·芬奇,爱德华·诺顿,139 分钟,https://movie.douban.com/subject/1292000/
47,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,9.0,2002-01-26(中国大陆),克里斯·哥伦布,丹尼尔·雷德克里夫,152分钟,https://movie.douban.com/subject/1295038/
48,我不是药神,9.0,2018-07-05(中国大陆),文牧野,徐峥,117分钟,https://movie.douban.com/subject/26752088/
49,死亡诗社 Dead Poets Society,9.1,1989-06-02(多伦多首映),彼得·威尔,罗宾·威廉姆斯,128 分钟,https://movie.douban.com/subject/1291548/
50,教父2 The Godfather: Part Ⅱ,9.2,1974-12-12(纽约首映),弗朗西斯·福特·科波拉,阿尔·帕西诺,202分钟,https://movie.douban.com/subject/1299131/
51,窃听风暴 Das Leben der Anderen,9.1,2006-03-23(德国),弗洛里安·亨克尔·冯·多纳斯马尔克,乌尔里希·穆埃,137分钟,https://movie.douban.com/subject/1900841/
52,狮子王 The Lion King,9.0,1995-07-15(中国大陆),罗杰·阿勒斯,乔纳森·泰勒·托马斯,89 分钟,https://movie.douban.com/subject/1301753/
53,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,9.1,2003-04-25(中国大陆),彼得·杰克逊,伊利亚·伍德,179分钟,https://movie.douban.com/subject/1291572/
54,大闹天宫,9.3,1961(中国大陆),万籁鸣,邱岳峰,114分钟,https://movie.douban.com/subject/1418019/
55,指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring,9.0,2002-04-04(中国大陆),彼得·杰克逊,伊利亚·伍德,178分钟,https://movie.douban.com/subject/1291571/
56,"两杆大烟枪 Lock, Stock and Two Smoking Barrels",9.1,1998-08-28(英国),盖·里奇,杰森·弗莱明,107分钟,https://movie.douban.com/subject/1293350/
57,美丽心灵 A Beautiful Mind,9.0,2001-12-13(加州首映),朗·霍华德,罗素·克劳,135分钟,https://movie.douban.com/subject/1306029/
58,饮食男女 飲食男女,9.1,1994-08-03(美国),李安,郎雄,124分钟,https://movie.douban.com/subject/1291818/
59,飞越疯人院 One Flew Over the Cuckoo's Nest,9.1,1975-11-19(美国),米洛斯·福尔曼,杰克·尼科尔森,133分钟,https://movie.douban.com/subject/1292224/
60,猫鼠游戏 Catch Me If You Can,9.0,2003-04-11(中国大陆),史蒂文·斯皮尔伯格,莱昂纳多·迪卡普里奥,141 分钟,https://movie.douban.com/subject/1305487/
61,黑客帝国 The Matrix,9.0,1999-03-31(美国),莉莉·沃卓斯基,基努·里维斯,136分钟,https://movie.douban.com/subject/1291843/
62,V字仇杀队 V for Vendetta,8.9,2005-12-11(BNAT电影节),詹姆斯·麦克特格,娜塔莉·波特曼,132分钟,https://movie.douban.com/subject/1309046/
63,钢琴家 The Pianist,9.2,2002-05-24(戛纳电影节),罗曼·波兰斯基,艾德里安·布洛迪,150分钟,https://movie.douban.com/subject/1296736/
64,本杰明·巴顿奇事 The Curious Case of Benjamin Button,8.9,2008-12-25(美国),大卫·芬奇,凯特·布兰切特,166分钟,https://movie.douban.com/subject/1485260/
65,看不见的客人 Contratiempo,8.8,2017-09-15(中国大陆),奥里奥尔·保罗,马里奥·卡萨斯,106分钟,https://movie.douban.com/subject/26580232/
66,让子弹飞,8.8,2010-12-16(中国大陆),姜文,姜文,132分钟,https://movie.douban.com/subject/3742360/
67,西西里的美丽传说 Malèna,8.9,2000-10-27(意大利),朱塞佩·托纳多雷,莫妮卡·贝鲁奇,109 分钟,https://movie.douban.com/subject/1292402/
68,海豚湾 The Cove,9.3,2009-07-31(美国),路易·西霍尤斯,Richard O'Barry,92分钟,https://movie.douban.com/subject/3442220/
69,小鞋子 بچههای آسمان,9.2,1997-02(伊朗),马基德·马基迪,法拉赫阿米尔·哈什米安,89分钟,https://movie.douban.com/subject/1303021/
70,拯救大兵瑞恩 Saving Private Ryan,9.0,1998-11-13(中国大陆),史蒂文·斯皮尔伯格,汤姆·汉克斯,169分钟,https://movie.douban.com/subject/1292849/
71,情书 Love Letter,8.9,1999-03(中国大陆),岩井俊二,中山美穗,117分钟,https://movie.douban.com/subject/1292220/
72,音乐之声 The Sound of Music,9.0,1965-03-02(美国),罗伯特·怀斯,朱莉·安德鲁斯,174分钟,https://movie.douban.com/subject/1294408/
73,穿条纹睡衣的男孩 The Boy in the Striped Pajamas,9.1,2008-09-12(英国),马克·赫尔曼,阿萨·巴特菲尔德,94分钟,https://movie.douban.com/subject/3008247/
74,美国往事 Once Upon a Time in America,9.2,1984-02-17(波士顿首映),赛尔乔·莱昂内,罗伯特·德尼罗,229分钟(导演剪辑版),https://movie.douban.com/subject/1292262/
75,致命魔术 The Prestige,8.9,2006-10-17(罗马电影节),克里斯托弗·诺兰,休·杰克曼,130分钟,https://movie.douban.com/subject/1780330/
76,绿皮书 Green Book,8.9,2019-03-01(中国大陆),彼得·法雷里,维果·莫腾森,130分钟,https://movie.douban.com/subject/27060077/
77,七宗罪 Se7en,8.8,1995-09-22(美国),大卫·芬奇,摩根·弗里曼,127分钟,https://movie.douban.com/subject/1292223/
78,低俗小说 Pulp Fiction,8.8,1994-05-12(戛纳电影节),昆汀·塔伦蒂诺,约翰·特拉沃尔塔,154分钟,https://movie.douban.com/subject/1291832/
