,电影名,评分,上映日期,导演,主演,片长,网址
180,无敌破坏王 Wreck-It Ralph,8.7,2012-11-06(中国大陆),瑞奇·摩尔,约翰·C·赖利,101分钟,https://movie.douban.com/subject/6534248/
181,未麻的部屋 Perfect Blue,8.9,1997-07(加拿大奇幻电影节),今敏,岩男润子,81 分钟,https://movie.douban.com/subject/1395091/
182,恋恋笔记本 The Notebook,8.5,2004-06-25(美国),尼克·卡萨维蒂,瑞恩·高斯林,123分钟,https://movie.douban.com/subject/1309163/
183,冰川时代 Ice Age,8.6,2002-03-15(美国),卡洛斯·沙尔丹哈,雷·罗马诺,81 分钟,https://movie.douban.com/subject/1291578/
184,哈利·波特与密室 Harry Potter and the Chamber of Secrets,8.6,2003-01-24(中国大陆),克里斯·哥伦布,丹尼尔·雷德克里夫,161分钟,https://movie.douban.com/subject/1296996/
185,海街日记 海街diary,8.8,2015-05-14(戛纳电影节),是枝裕和,绫濑遥,127分钟,https://movie.douban.com/subject/25895901/
186,新世界 신세계,8.8,2013-02-21(韩国),朴勋政,李政宰,134分钟,https://movie.douban.com/subject/10437779/
187,海边的曼彻斯特 Manchester by the Sea,8.6,2017-08-25(中国大陆),肯尼思·洛纳根,卡西·阿弗莱克,137分钟,https://movie.douban.com/subject/25980443/
188,二十二,8.7,2017-08-14(中国大陆),郭柯,无,99分钟(公映版),https://movie.douban.com/subject/26430107/
189,虎口脱险 La grande vadrouille,8.9,1966-12-08(法国),热拉尔·乌里,路易·德·菲奈斯,132分钟,https://movie.douban.com/subject/1296909/
190,房间 Room,8.8,2015-09-04(特柳赖德电影节),伦尼·阿伯拉罕森,布丽·拉尔森,118分钟,https://movie.douban.com/subject/25724855/
191,恐怖游轮 Triangle,8.5,2009-10-16(英国),克里斯托弗·史密斯,梅利莎·乔治,99 分钟,https://movie.douban.com/subject/3011051/
192,雨中曲 Singin' in the Rain,9.0,1952-04-11(美国),斯坦利·多南,吉恩·凯利,103分钟,https://movie.douban.com/subject/1293460/
193,人工智能 Artificial Intelligence: AI,8.6,2001-06-29(美国),史蒂文·斯皮尔伯格,海利·乔·奥斯蒙,146分钟,https://movie.douban.com/subject/1302827/
194,魔女宅急便 魔女の宅急便,8.6,1989-07-29(日本),宫崎骏,高山南,103分钟,https://movie.douban.com/subject/1307811/
195,惊魂记 Psycho,9.0,1960-06-16(纽约首映),阿尔弗雷德·希区柯克,安东尼·博金斯,109分钟,https://movie.douban.com/subject/1293181/
196,奇迹男孩 Wonder,8.6,2018-01-19(中国大陆),斯蒂芬·卓博斯基,雅各布·特伦布莱,113分钟,https://movie.douban.com/subject/26787574/
197,疯狂的石头,8.4,2006-06-30(中国大陆),宁浩,郭涛,106 分钟(香港),https://movie.douban.com/subject/1862151/
198,海洋 Océans,9.1,2011-08-12(中国大陆),雅克·贝汉,皮尔斯·布鲁斯南,104分钟(法国),https://movie.douban.com/subject/3443389/
199,罗生门 羅生門,8.8,1950-08-26(日本),黑泽明,三船敏郎,88分钟,https://movie.douban.com/subject/1291879/
200,终结者2：审判日 Terminator 2: Judgment Day,8.7,1991-07-03(美国),詹姆斯·卡梅隆,阿诺·施瓦辛格,137分钟,https://movie.douban.com/subject/1291844/
201,燃情岁月 Legends of the Fall,8.8,1994-12-16(美国),爱德华·兹威克,布拉德·皮特,133分钟,https://movie.douban.com/subject/1295865/
202,爱在午夜降临前 Before Midnight,8.8,2013-06-14(美国),理查德·林克莱特,伊桑·霍克,109分钟,https://movie.douban.com/subject/10808442/
203,魂断蓝桥 Waterloo Bridge,8.8,1940-05-17(美国),茂文·勒鲁瓦,费雯·丽,108分钟,https://movie.douban.com/subject/1293964/
204,初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,8.4,2012-06-05(中国大陆),普特鹏·普罗萨卡·那·萨克那卡林,平采娜·乐维瑟派布恩,118分钟(泰国),https://movie.douban.com/subject/4739952/
205,穿越时空的少女 時をかける少女,8.6,2006-07-15(日本),细田守,仲里依纱,98分钟,https://movie.douban.com/subject/1937946/
206,小偷家族 万引き家族,8.7,2018-08-03(中国大陆),是枝裕和,中川雅也,117分钟(中国大陆),https://movie.douban.com/subject/27622447/
207,可可西里,8.8,2004-10-01(中国大陆),陆川,多布杰,85分钟(中国大陆),https://movie.douban.com/subject/1308857/
208,绿里奇迹 The Green Mile,8.8,1999-12-10(美国),弗兰克·德拉邦特,汤姆·汉克斯,189 分钟,https://movie.douban.com/subject/1300374/
209,2001太空漫游 2001: A Space Odyssey,8.8,1968-04-02(华盛顿首映),斯坦利·库布里克,凯尔·杜拉,149分钟,https://movie.douban.com/subject/1292226/
210,完美陌生人 Perfetti sconosciuti,8.5,2018-05-25(中国大陆),保罗·杰诺维塞,马可·贾利尼,97分钟,https://movie.douban.com/subject/26614893/
211,牯岭街少年杀人事件 牯嶺街少年殺人事件,8.8,1991-07-27(中国台湾),杨德昌,张震,237分钟(导演剪辑版),https://movie.douban.com/subject/1292329/
212,无耻混蛋 Inglourious Basterds,8.6,2009-05-20(戛纳电影节),昆汀·塔伦蒂诺,布拉德·皮特,153分钟,https://movie.douban.com/subject/1438652/
213,阿飞正传 阿飛正傳,8.5,1990-12-15(中国香港),王家卫,张国荣,94分钟,https://movie.douban.com/subject/1305690/
214,新龙门客栈 新龍門客棧,8.6,1992-08-27(中国香港),李惠民,张曼玉,88分钟,https://movie.douban.com/subject/1292287/
215,香水 Perfume: The Story of a Murderer,8.5,2006-09-07(德国),汤姆·提克威,本·卫肖,147分钟,https://movie.douban.com/subject/1760622/
216,源代码 Source Code,8.4,2011-08-30(中国大陆),邓肯·琼斯,杰克·吉伦哈尔,93分钟,https://movie.douban.com/subject/3075287/
217,城市之光 City Lights,9.3,1931-01-30(洛杉矶首映),查理·卓别林,查理·卓别林,87 分钟,https://movie.douban.com/subject/1293908/
218,谍影重重2 The Bourne Supremacy,8.6,2004-11-14(中国大陆),保罗·格林格拉斯,马特·达蒙,108分钟,https://movie.douban.com/subject/1308767/
219,谍影重重 The Bourne Identity,8.6,2002-11-21(中国大陆),道格·里曼,马特·达蒙,119分钟,https://movie.douban.com/subject/1304102/
220,青蛇,8.5,1993-11-04(中国香港),徐克,张曼玉,99分钟,https://movie.douban.com/subject/1303394/
221,猜火车 Trainspotting,8.5,1996-02-23(英国),丹尼·博伊尔,伊万·麦克格雷格,94分钟,https://movie.douban.com/subject/1292528/
222,战争之王 Lord of War,8.6,2005-09-16(美国),安德鲁·尼科尔,尼古拉斯·凯奇,122 分钟,https://movie.douban.com/subject/1419936/
223,地球上的星星 Taare Zameen Par,8.9,2007-12-21(印度),阿米尔·汗,达席尔·萨法瑞,165分钟,https://movie.douban.com/subject/2363506/
224,血钻 Blood Diamond,8.6,2006-12-08(美国),爱德华·兹威克,莱昂纳多·迪卡普里奥,143 分钟,https://movie.douban.com/subject/1428175/
225,朗读者 The Reader,8.6,2008-12-10(纽约首映),史蒂芬·戴德利,凯特·温丝莱特,124 分钟,https://movie.douban.com/subject/2213597/
226,浪潮 Die Welle,8.7,2008-03-13(德国),丹尼斯·甘塞尔,于尔根·福格尔,107 分钟,https://movie.douban.com/subject/2297265/
227,色，戒,8.4,2007-09-24(中国台湾),李安,梁朝伟,158分钟,https://movie.douban.com/subject/1828115/
228,遗愿清单 The Bucket List,8.6,2007-12-25(多伦多电影节),罗伯·莱纳,杰克·尼科尔森,97 分钟,https://movie.douban.com/subject/1867345/
229,步履不停 歩いても 歩いても,8.8,2008-06-28(日本),是枝裕和,阿部宽,115分钟,https://movie.douban.com/subject/2222996/
230,彗星来的那一夜 Coherence,8.5,2013-09-19(奇幻电影节),詹姆斯·沃德·布柯特,艾米丽·芭尔多尼,89分钟,https://movie.douban.com/subject/25807345/
231,大佛普拉斯,8.7,2017-10-13(中国台湾),黄信尧,庄益增,102分钟,https://movie.douban.com/subject/27059130/
232,疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,8.6,2015-05-14(澳大利亚),乔治·米勒,汤姆·哈迪,120分钟,https://movie.douban.com/subject/3592854/
233,小萝莉的猴神大叔 Bajrangi Bhaijaan,8.4,2018-03-02(中国大陆),卡比尔·汗,萨尔曼·汗,159分钟,https://movie.douban.com/subject/26393561/
234,再次出发之纽约遇见你 Begin Again,8.5,2015-06-26(中国大陆),约翰·卡尼,凯拉·奈特莉,104分钟,https://movie.douban.com/subject/6874403/
235,聚焦 Spotlight,8.8,2015-09-03(威尼斯电影节),汤姆·麦卡锡,马克·鲁弗洛,128分钟,https://movie.douban.com/subject/25954475/
236,驴得水,8.3,2016-10-28(中国大陆),周申,任素汐,111分钟,https://movie.douban.com/subject/25921812/
237,追随 Following,8.9,1998-09-12(多伦多电影节),克里斯托弗·诺兰,杰里米·西奥伯德,69分钟,https://movie.douban.com/subject/1397546/
238,东京物语 東京物語,9.2,1953-11-03(日本),小津安二郎,笠智众,136 分钟,https://movie.douban.com/subject/1291568/
239,一次别离 جدایی نادر از سیمین,8.7,2012-11-13(中国大陆),阿斯哈·法哈蒂,佩曼·莫阿迪,123分钟,https://movie.douban.com/subject/5964718/
240,黑鹰坠落 Black Hawk Down,8.7,2001-12-18(美国),雷德利·斯科特,乔什·哈奈特,144分钟,https://movie.douban.com/subject/1291824/
241,千钧一发 Gattaca,8.8,1997-10-24(美国),安德鲁·尼科尔,伊桑·霍克,106分钟,https://movie.douban.com/subject/1300117/
242,我爱你 그대를 사랑합니다,9.0,2011-02-17(韩国),秋昌旼,宋在浩,118分钟,https://movie.douban.com/subject/5908478/
243,发条橙 A Clockwork Orange,8.5,1971-12-19(纽约首映),斯坦利·库布里克,马尔科姆·麦克道威尔,136 分钟,https://movie.douban.com/subject/1292233/
244,四个春天,8.9,2019-01-04(中国大陆),陆庆屹,陆运坤,105分钟,https://movie.douban.com/subject/27191492/
245,网络谜踪 Searching,8.6,2018-12-14(中国大陆),阿尼什·查甘蒂,约翰·赵,102分钟,https://movie.douban.com/subject/27615441/
246,E.T. 外星人 E.T.: The Extra-Terrestrial,8.6,1982-05-26(戛纳电影节),史蒂文·斯皮尔伯格,亨利·托马斯,115分钟,https://movie.douban.com/subject/1294638/
247,撞车 Crash,8.6,2004-09-10(多伦多电影节),保罗·哈吉斯,桑德拉·布洛克,112分钟,https://movie.douban.com/subject/1388216/
248,变脸 Face/Off,8.5,1997-06-27(美国),吴宇森,约翰·特拉沃尔塔,138分钟,https://movie.douban.com/subject/1292659/
249,九品芝麻官,8.4,1994-03-31,王晶,周星驰,108分钟,https://movie.douban.com/subject/1297518/
